"name"	"year"	"month"	"total_flights"	"n_distinct_destination"	"avg_air_time"	"avg_distance"	"perc_delayed"
"Gallatin Field"	2017	12	449	10	94.9606	726.3457	0.2341
"Seattle Tacoma Intl"	2017	12	10957	71	152.7705	1244.0277	0.13
"Bismarck Municipal Airport"	2017	12	168	4	71.2865	491.8596	0.1696
"Gillette-Campbell County Airport"	2017	12	60	1	50.9333	313	0.35
"Flagstaff Pulliam Airport"	2017	12	115	1	28.4522	119	0.0435
"Greenville-Spartanburg International"	2017	12	514	7	68.1701	393.8847	0.1323
"San Diego Intl"	2017	12	7054	48	127.3328	1008.6323	0.1069
"Pensacola Rgnl"	2017	12	436	8	63.6031	400.388	0.0865
"Eglin Afb"	2017	12	297	3	67.8506	399.9026	0.0974
"Long Beach"	2017	12	1428	15	87.4801	623.1645	0.0938
"Merle K Mudhole Smith"	2017	12	58	2	34.3833	186.5	0.05
"Cherry Capital Airport"	2017	12	154	2	40.5217	215.4472	0.2919
"Pocatello Regional Airport"	2017	12	85	1	33.2588	150	0.2471
"Norman Y Mineta San Jose Intl"	2017	12	4333	30	102.0365	748.2487	0.1014
"University Park Airport"	2017	12	127	3	70.5313	378.7813	0.1953
"Mahlon Sweet Fld"	2017	12	282	6	91.4629	674.4841	0.1272
"Monroe Rgnl"	2017	12	219	3	58.2991	354.4464	0.1429
"Cleveland Hopkins Intl"	2017	12	2894	30	102.068	678.1822	0.1757
"Corpus Christi Intl"	2017	12	187	2	34.4531	192.9063	0.1823
"Alexandria Intl"	2017	12	68	2	43.7206	217.3529	0.0882
"Dallas Love Fld"	2017	12	5805	55	98.5763	725.828	0.198
"Worcester Regional Airport"	2017	12	59	2	159.4918	1151.9836	0.1639
"Kona Intl At Keahole"	2017	12	1224	15	138.5432	1152.9666	0.1205
"Augusta Rgnl At Bush Fld"	2017	12	135	1	33.9362	143	0.1915
"Abilene Rgnl"	2017	12	1	1	0	143	0
"Waterloo Regional Airport"	2017	12	27	1	44.8519	234	0.1111
"Columbia Metropolitan"	2017	12	200	4	62.385	363.3615	0.0939
"Manhattan Reigonal"	2017	12	73	4	68.3378	444.3919	0.1757
"John Wayne Arpt Orange Co"	2017	12	3524	23	103.4736	761.2203	0.1014
"Myrtle Beach Intl"	2017	12	317	7	70.1682	476.0826	0.1498
"Rick Husband Amarillo Intl"	2017	12	277	5	67.8648	450.5907	0.1459
"Hays Regional Airport"	2017	12	49	1	51.7843	298	0.0784
"Ketchikan Intl"	2017	12	174	4	61.1333	430.3167	0.1111
"Roswell Intl Air Center"	2017	12	61	2	68.5645	434.0645	0.1129
"Indianapolis Intl"	2017	12	2112	26	119.9251	826.6122	0.1368
"Bangor Intl"	2017	12	57	1	80.4035	393	0.614
"St George Muni"	2017	12	268	4	53.7201	333.444	0.1269
"Eagle Co Rgnl"	2017	12	265	13	117.1316	932.9962	0.2105
"Gainesville Rgnl"	2017	12	62	1	50.4	300	0.1538
"Sawyer International Airport"	2017	12	56	2	54.7193	322.3509	0.2632
"Bishop International"	2017	12	309	5	65.9938	379.882	0.2174
"Gerald R Ford Intl"	2017	12	842	12	68.1506	422.4059	0.2412
"Fayetteville Regional Grannis Field"	2017	12	79	1	60.0595	331	0.131
"Greater Rochester Intl"	2017	12	485	9	74.4109	464.3866	0.1781
"San Antonio Intl"	2017	12	2904	32	101.28	758.1204	0.1201
"Pellston Regional Airport of Emmet County Airport"	2017	12	64	2	32.1528	194.6667	0.2917
"Harrisburg Intl"	2017	12	251	4	81.6069	488.4427	0.1412
"Easterwood Fld"	2017	12	92	2	27.7609	104.3261	0.1087
"Lincoln"	2017	12	182	4	69.8798	452.7049	0.1913
"Memphis Intl"	2017	12	1052	19	82.2567	567.3693	0.1414
"Charlottesville-Albemarle"	2017	12	172	3	79.6778	482.0056	0.1611
"Plattsburgh Intl"	2017	12	22	1	179.6364	1334	0.2727
"Norfolk Intl"	2017	12	940	13	85.3208	496.6729	0.1578
"Valley Intl"	2017	12	190	4	44.9119	286.3834	0.228
"Magic Valley Regional Airport"	2017	12	88	2	31.2	173.9053	0.1368
"Mobile Rgnl"	2017	12	294	4	66.7923	412.0192	0.099
"City Of Colorado Springs Muni"	2017	12	807	13	87.6025	636.1543	0.1407
"Laredo Intl"	2017	12	88	1	51.125	301	0.1477
"Albuquerque International Sunport"	2017	12	1595	21	92.4394	680.1431	0.1219
"Central Wisconsin"	2017	12	44	1	48.2045	213	0.25
"Dallas Fort Worth Intl"	2017	12	14778	106	121.7533	926.6748	0.1514
"Wilmington Intl"	2017	12	147	2	55.3548	302.6774	0.0839
"Kodiak"	2017	12	46	1	38.3469	253	0.102
"Atlantic City Intl"	2017	12	297	6	128.1846	887.8523	0.104
"Detroit Metro Wayne Co"	2017	12	9611	99	102.7215	701.472	0.2182
"John F Kennedy Intl"	2017	12	7682	54	213.8556	1499.209	0.1925
"Central Illinois Rgnl"	2017	12	123	3	50.5556	292.1032	0.1746
"Muskegon County Airport"	2017	12	50	1	28.1667	118	0.2407
"Richmond Intl"	2017	12	1189	14	91.3098	578.6566	0.1943
"Hattiesburg Laurel Regional Airport"	2017	12	59	1	17.7097	69	0.2581
"Kansas City Intl"	2017	12	3516	40	104.3614	753.4649	0.1283
"Ronald Reagan Washington Natl"	2017	12	5814	44	125.5008	820.7115	0.1468
"Idaho Falls Rgnl"	2017	12	182	2	47.0815	290.7174	0.1467
"Tulsa Intl"	2017	12	1149	15	77.6396	512.8513	0.1184
"Springfield Branson Natl"	2017	12	213	4	79.4128	542.6147	0.133
"Friedman Mem"	2017	12	98	5	54.4393	370.1495	0.1776
"Savannah Hilton Head Intl"	2017	12	586	9	80.2653	531.2106	0.1376
"Ted Stevens Anchorage Intl"	2017	12	1226	21	151.2829	1230.4359	0.0601
"Birmingham Intl"	2017	12	993	13	83.7451	529.5758	0.1594
"George Bush Intercontinental"	2017	12	10492	103	113.0329	853.5753	0.0972
"Yeager"	2017	12	183	3	77.9895	470.9319	0.1571
"Falls Intl"	2017	12	53	1	45.2593	255	0.3148
